Source ID,Target ID,Source,Target,Altered,Start Year Type,Start Year,End Year Type,End Year
10003063,10001818,John Crook,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10003478,10003063,William Dewsbury,John Crook,FALSE,AF/IN,1621,BF/IN,1688
10009524,10003063,Isaac Penington,John Crook,FALSE,AF/IN,1616,BF/IN,1661
10009584,10003063,John Perrot,John Crook,FALSE,AF/IN,1616,BF/IN,1665
10004524,10003063,George Fox,John Crook,FALSE,AF/IN,1624,BF/IN,1691
10003063,10003060,John Crook,Richard Cromwell,FALSE,AF/IN,1626,BF/IN,1699
10011824,10011811,Thomas Taylor,Christopher Taylor,FALSE,AF/IN,1617,BF/IN,1682
10012062,10003162,Rebecca Travers,Alice Curwen,FALSE,AF/IN,1619,BF/IN,1679
10012062,10008713,Rebecca Travers,James Nayler,FALSE,AF/IN,1618,BF/IN,1660
10012062,10009531,Rebecca Travers,William Penn,FALSE,AF/IN,1644,BF/IN,1688
10012813,10012062,George Whitehead,Rebecca Travers,FALSE,AF/IN,1637,BF/IN,1688
10012614,10004811,Dorothy Waugh,Sarah Gibbons,FALSE,AF/IN,1636,BF/IN,1659
10009533,10008595,John Pennyman,William Mucklow,FALSE,AF/IN,1630,BF/IN,1706
10009533,10004524,John Pennyman,George Fox,FALSE,AF/IN,1628,BF/IN,1691
10009533,10008713,John Pennyman,James Nayler,FALSE,AF/IN,1628,BF/IN,1660
10009584,10009533,John Perrot,John Pennyman,FALSE,AF/IN,1628,BF/IN,1665
10012813,10009533,George Whitehead,John Pennyman,FALSE,AF/IN,1637,BF/IN,1706
10009527,10003161,Mary Penington,Thomas Curtis,FALSE,AF/IN,1623,BF/IN,1682
10010941,10003161,Anthony Sharp,Thomas Curtis,FALSE,AF/IN,1643,BF/IN,1707
10011671,10003161,King Charles II,Thomas Curtis,FALSE,AF/IN,1630,BF/IN,1685
10003161,10001180,Thomas Curtis,Thomas Blood,FALSE,AF/IN,1617,BF/IN,1680
10011613,10003161,John Story,Thomas Curtis,FALSE,AF/IN,1602,BF/IN,1681
10012665,10003161,Samuel Wells,Thomas Curtis,FALSE,AF/IN,1614,BF/IN,1678
10003945,10003161,Thomas Ellwood,Thomas Curtis,FALSE,AF/IN,1639,BF/IN,1712
10011114,10003161,William Simpson,Thomas Curtis,FALSE,AF/IN,1627,BF/IN,1671
10012813,10001737,George Whitehead,Francis Bugg,FALSE,AF/IN,1640,BF/IN,1724
10009697,10001737,Henry Pickworth,Francis Bugg,FALSE,AF/IN,1673,BF/IN,1727
10010488,10008917,John Rous,Humphrey Norton,FALSE,AF/IN,1655,BF/IN,1660
10001969,10001968,Thomas Camm,John Camm,FALSE,AF/IN,1640,BF/IN,1657
10011613,10001969,John Story,Thomas Camm,FALSE,AF/IN,1640,BF/IN,1681
10012985,10001969,Henry Winder,Thomas Camm,FALSE,AF/IN,1693,BF/IN,1708
10001969,10001967,Thomas Camm,Anne Camm,FALSE,AF/IN,1640,BF/IN,1705
10012815,10012813,John Whitehead,George Whitehead,FALSE,AF/IN,1637,BF/IN,1696
10012815,10006189,John Whitehead,John Horne,FALSE,AF/IN,1630,BF/IN,1676
10003087,10001818,William Crouch,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10006305,10003087,Francis Howgill,William Crouch,FALSE,AF/IN,1628,BF/IN,1669
10003882,10001815,William Edmundson,John Burnyeat,FALSE,AF/IN,1631,BF/IN,1690
10011683,10003882,King James II and VII,William Edmundson,FALSE,AF/IN,1633,BF/IN,1701
10010941,10003882,Anthony Sharp,William Edmundson,FALSE,AF/IN,1643,BF/IN,1707
10006314,10004141,Richard Hubberthorne,Richard Farnworth,FALSE,AF/IN,1630,BF/IN,1662
10011671,10006314,King Charles II,Richard Hubberthorne,FALSE,AF/IN,1630,BF/IN,1662
10012299,10006314,Thomas Venner,Richard Hubberthorne,FALSE,AF/IN,1641,BF/IN,1662
10012813,10006314,George Whitehead,Richard Hubberthorne,FALSE,AF/IN,1637,BF/IN,1662
10008039,10006314,Adam Martindale,Richard Hubberthorne,FALSE,AF/IN,1628,BF/IN,1662
10011695,10001815,John Stubbs,John Burnyeat,FALSE,AF/IN,1631,BF/IN,1675
10011695,10002203,John Stubbs,William Caton,FALSE,AF/IN,1636,BF/IN,1665
